o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
2822,354,wT,36.79,1919-07-06,Hb,vzkvHDyV,5,hk
2823,969,ye,749.23,1949-08-03,cH,mDVlcxWa,1,Mi
2824,12,gw,221.1,1958-07-07,DL,FbcShV,3,FO
2825,943,Ih,32.5,1953-10-23,sl,kXPPLfJ,5,Qr
2826,957," K",428.84,1986-01-28,UV,DOrCSOZQbR,2,pD
2827,562,eU,13.54,2008-01-31,Qc,PbHwXl,3,nu
2828,516,wv,936.97,1954-12-21,tv,"n ",5,pA
2829,586,Uk,92.29,2014-09-21,yp,WatHMTL,2,cE
2830,791,aZ,475.16,1910-10-24,Mr,ZchPcnj,2,ff
2831,939,xW,8.16,1931-08-04,dg,pNuJpNot,1,wR
2832,790,Sn,28.63,1928-09-01,Gw,jfim,1,CJ
2833,253,Xm,53.8,1926-10-21,PI,LHmAjIF,4,Wu
2834,822,hJ,577.42,1924-10-11,wu,XFRDSwgT,2,dZ
2835,23,Rn,429.12,2005-07-08,DK,PUTBLr,5,Pk
2836,380,rs,521.18,1986-02-20,Vf,JJCjyye,3,zt
2837,4,Sp,462.37,1960-07-06,Ob,YkTCUyeHnF,1,zt
2838,379,tT,594.37,1960-07-30,DF,gCSZZPOWKT,1,uM
2839,900,QO,322.32,1901-09-06,ol,"yFMWVLsS ",5,vt
2840,593,dX,984.5,1928-11-25,pW,"W ",4,Kj
2841,620,zm,136.66,1968-04-26,vL,vbUbQhKFBk,2,Fj
2842,929,bx,553.92,1957-01-06,tJ,OgcOX,2,xk
2843,7,on,396.7,2004-09-07,Sn,NqJP,5,tp
2844,54,mm,711.3,1900-05-20,Lf,iRHSe,2,Pl
2845,238,ld,613.12,1969-05-03,XI,vaNSazl,2,lg
2846,808,eK,766.7,1990-01-31,sZ,diWDVCTt,3,Hq
2847,782,AL,884.25,1917-08-13,FA,yy,1,fX
2848,458,LU,135.29,1934-05-10,JN,fjOQ,3,iX
2849,847,TV,189.73,1901-09-05,HD,nzgJ,3,fq
2850,721,tP,571.29,1950-01-01," r",InPoyphoxv,3,tR
2851,904,Xj,800.78,1939-03-28,sB,"yUtxkoqd ",1,AV
2852,728,jU,564.81,1963-08-28," X",fEoMB,3,bw
2853,661,Fv,996.74,1930-04-11,jv,RIfIm,2,Px
2854,241,sc,455.88,1954-06-22,Tx,MsZy,1,Lb
2855,922,Qs,211.06,1917-06-29,JR,Xc,4,eD
2856,319,cj,263.7,1994-09-19,XD,NcMJ,2,nk
2857,887,gS,186.44,1986-11-12,pu,rpdJoyJOq,1,dU
2858,93,eH,674.49,2014-04-12,"s ",vdPISpfFm,5,VZ
2859,158,ua,463.76,2002-11-17,WZ,klvN,1,yz
2860,83,bW,430.49,1924-09-18,nX,MGCkDXQ,1,Xy
2861,58,KW,321.8,2002-12-16,wD,Dfjp,2,XO
2862,862,RI,959.65,1912-02-26,ri,yseAX,4,WM
2863,225,lA,865.2,1956-08-02,Ry,VcLZQ,4,sn
2864,737,Kg,174.91,2006-08-17,Ee,LMpsvYUCde,1,hF
2865,871,dY,179.38,1993-12-18,jJ,Tmx,5,Mk
2866,570,hj,37.92,1993-07-21,ZL,gmzcEs,2,om
2867,362,Wq,465.67,1969-06-20,fC,oWoitkIG,5,Es
2868,971,dF,227.89,2009-12-06," d",oHkrgcfK,5,Vz
2869,439,lR,896.1,1973-01-28,NO,BnIpq,3," U"
2870,716,do,831.94,1941-02-28,aV,EBdR,1,TM
2871,65,tD,212.73,2000-12-13,ca,yskOSEfb,5,Qk
2872,446,gX,210.56,1982-03-23,ju,tCmI,3,mM
2873,983,yV,494.86,1996-12-15,wZ,ymyaRm,2,sK
2874,838,ew,48.05,1968-12-24,Rv,TNuUrtJ cj,4,ml
2875,95,Al,419.88,2010-11-24," d",WL fI,2,YZ
2876,207,rz,448.11,1914-01-31,cv,oS,4,fd
2877,503,Xt,334.32,1948-09-26,oz,Ddour,4,uI
2878,472,xG,499.59,2014-12-19,zs,Jzky,1,Jn
2879,917,Rs,884.6,1966-06-29,By,sOtkGI,4,gE
2880,812,ib,936.44,1939-08-10,Ua,XVPC,4,GB
2881,865,XL,364.77,1977-04-16,Kg,sDmDFPDnWb,5,NT
2882,393,dF,548.88,1920-07-01,WY,QJjMtKOPWK,4,jT
2883,864,AE,126.99,1928-05-10,Ih,qcxhiAr,4,WL
2884,58,Nt,117.17,1957-09-11,sj,Rbnpwpn,2,GY
2885,995,lz,222.32,2016-11-09,Ig,axc,5,EZ
2886,762,Dw,726.44,1982-07-31,bd,isjTbj,2,FB
2887,680,zr,285.36,1900-10-20,Bo,HoWFtA,2,WD
2888,387,dk,985.29,1916-12-04,rg,ghVJO,4,LN
2889,772,BT,747.06,1974-07-03,Xe,mw,5,YX
2890,65,kC,987.76,1902-11-24,na,JLS,5,Fy
2891,313,Rv,293.08,1959-08-22,aO,"WvrzHSere ",4,Eh
2892,511,KX,248.8,1909-06-04,gq,OfZym,4,JP
2893,783," O",25.87,1940-06-04,ow,jPmIZp,1,kq
2894,813,wf,55.17,1951-08-13,xe,kyNT,5,Sb
2895,999,Tm,852.68,1924-12-04,yA,FletgEUd,1,dn
2896,354,am,362.37,1977-01-01,Sx,oqboI,4,ca
2897,130,zf,466.21,1967-02-19,pQ,gwyzwXJ,3,EP
2898,537,lC,582.38,1909-09-18,Hr,KopV,2,ng
2899,146,Af,199.38,1994-01-26,NK,aib,3,zI
2900,829,QS,217.09,2010-06-29,ZZ,Mzf,5,Yv
2901,525,DJ,927.65,2014-10-13,mT,KiIMZ iJmQ,5,"G "
2902,541,fC,551.31,1981-12-23,fF,cZ,1,ap
2903,384,ey,162.85,1921-08-13,Fc,R m,5,vy
2904,325,FH,21.3,1977-11-20,Yh,sJUXDJU,5,PL
2905,704,AW,795.5,2016-01-16,vc,TasrbuDPyf,1,tT
2906,816,il,910.61,1959-08-19,Lx,DmmtygAqI,2,xc
2907,203,mx,316.15,1918-09-01,oW,vjw,2,ey
2908,799,PX,281.68,1999-08-30,Js,FqafUSO,4,dO
2909,195,PY,771.31,1977-08-06,tW,biUMZr,3,yi
2910,361,Rz,331.27,1992-11-09,kK,WoMayWPpuu,3,Wb
2911,453,tI,421.68,1907-05-27,aM,HR,1,SX
2912,736,Pd,854.49,1999-09-10,Fm,nWce,1,Th
2913,665,bn,335.18,1924-07-08,qc,MCrGOQQW,3,Ib
2914,610,Sd,347.47,2018-02-25,zx,rs,2,lU
2915,29,qC,377.94,1929-08-05,Ug,vxeljax,4,Yx
2916,2,LM,739.64,2008-01-06,rQ,CyQqSrLk,3,Hn
2917,863,Yj,929.07,2014-11-23,hy,ZFud,5,kH
2918,3,wU,689.97,1909-03-25,Yr,vdM,4,vp
2919,107,hl,305.71,1962-01-17,mk,SWqIReTx,1,eU
2920,699,Ng,917.06,1968-10-06,YD," pAdqK",4,wT
2921,619,zt,711.44,1996-05-28,iF,VItmMFh,5,GX
2922,824,ds,661.5,2002-05-23,lS,KWxyDncaEk,5,Kx
2923,8,Ls,574.07,1971-12-14,xy,od,2,cV
2924,341,or,711.76,1946-04-29,JM,Xfe,5,Ed
2925,765,Fa,702.02,2001-08-23,FB,DSrPkx IXB,5,RS
2926,547,NR,800.28,2018-04-09,ws,CJrTP,3,"d "
2927,193,Yq,295.88,1981-08-11,Np,u gaz,4,En
2928,118,bC,93.53,1931-09-19,mt,qq,5," w"
2929,792,zd,205.92,1902-06-29,AK,gVxiV,4,gS
2930,399,Ok,896.76,1912-07-28,cM,ADAT,1,fY
2931,385,Kd,941.61,1941-04-10," A",fEhHS,1,zu
2932,806,Vt,341.43,1964-05-08,Zd,xe,3,xq
2933,180,yZ,599.77,1994-07-26,Uh,fuwJ,4,JT
2934,990,Jj,977.28,1929-06-26,du,RdboSLxzyr,4,BZ
2935,169,ZX,317.38,1953-12-14,Dw,uKbf,4,hw
2936,420,rZ,210.82,1938-08-22,QV,fGRdIeO,5,Ja
2937,110,vB,522.81,1945-09-20,fu,CMewXW,2,ao
2938,689,JL,990.58,1932-09-15,KZ,fyRkkOARyA,4,hx
2939,760,mn,843.19,1962-01-07," d",APh,2,EK
2940,812,uz,878.43,1962-10-02,im,YZYOxpXMCT,3,om
2941,379,nF,670.4,1956-02-15,LY,jROXV,3,iM
2942,570,dp,721.62,1915-04-06,JC,FfQdhrcE,2,IH
2943,892,qt,685.76,1959-09-18,Tp,uwC,5,Oh
2944,496,Bp,270.03,1985-02-28,"g ",ogZN,3,Zo
2945,641,kO,682.08,1967-06-10,vX,EYpFIaFa,3,AF
2946,120,fi,127.61,1915-11-23,wA,kHDWrcP,2,RA
2947,573,nC,798.48,1977-05-25,mR,DnieNjc,2,bm
2948,372,aR,275.04,1949-06-30,Ny,Kh,2,ZN
2949,661,vs,492.76,1975-03-19,Lv,D hLAdZL,2,bu
2950,100,ly,564.44,1956-03-16," e",tQynwMFaou,2,am
2951,376,vX,190.19,1925-09-22,kH,eV,5,dv
2952,436,EY,100.32,2002-10-25,Ef,iOzxg,3,Yz
2953,600,bd,84.99,1906-12-01,kc,TJE,5,YU
2954,903,Tt,682.4,1963-09-14,Xv,OUkQD,3,zS
2955,514,tF,76.03,1988-06-05,kE,afxKW,1,aS
2956,296,wB,869.37,1968-05-09,Wa,axjmaoTY,2,qe
2957,895,cI,350.29,1952-05-26,EA,zVNv,2,pS
2958,415,AC,641.1,1935-11-11,yz,rRos,4,Af
2959,106,jR,646.21,1933-08-14,UR,rVZNPLFUcc,1,NJ
2960,928,nD,595.65,2019-02-02,YF,QpZUQ,4,wB
2961,648,kC,201.67,1968-07-09,sk,IVXPSuqtL,4,Cn
2962,810,Bl,505.4,1972-09-18,jJ,xm,3,YW
2963,908,VD,85.29,1951-02-07,Qv,zKmzbxGzB,2,AO
2964,538,Ij,721.27,2015-06-06,wC,nfeJJlyfpm,5,bl
2965,247,"n ",548.01,1995-12-19,En,cqfEu,2,rf
2966,63,MZ,732.87,1914-01-06,Zb,IMYX JfZpj,5,fl
2967,531,EK,353.19,1950-01-25,JN,aAyzDAIS,3,ob
2968,366,"r ",547.94,1962-01-16,cB," rBUxwuJ",5,ss
2969,987,DS,608.68,1972-06-22,WO,XnI,2,xq
2970,122,Xd,151.28,1927-05-08,rB,NQTqVmO,3," h"
2971,247,NA,30.71,1930-06-21,Bd,tkxps,5,dh
2972,217,ey,376.5,1925-03-14,OL,VRScrbzrQ,2,"l "
2973,976,Dp,59.94,1933-05-21,Ne,ZShFNxc,4,Wj
2974,260,zE,644,1977-07-25,cv,mi,5,dV
2975,18,Yo,786.36,1910-05-07,BC,dYKV,5,mP
2976,178,rc,327.24,1909-01-26,mA,jBkDSvv,5,Tq
2977,18,id,841.6,1965-11-27,pj,nHfNXEhc,4,hT
2978,245,HQ,87.31,2001-01-04,SL,knQ,5,oB
2979,627,rx,989.53,1986-12-16,lZ,QdV,3,SZ
2980,464,SR,838.33,2000-10-22,xD,lSk,4,aH
2981,583,kr,537.84,1902-08-13,jT,hnWRBmEYS,4,Dy
2982,612,TR,444.09,1909-09-05,Lt,DPrHOu,4,cl
2983,306,KG,457.37,1943-10-23,nb,FqHL,1,xZ
2984,982,Zg,667.69,1964-07-12,fU,qzUFgy,5,Dq
2985,721,Cl,741.88,1931-11-13,BQ,jBJofJYN,2,eK
2986,65,dl,234.38,1974-04-02,gU,PBYF,2,fa
2987,448,Kr,659.04,1962-08-21,ZG,eRQR,1,iO
2988,434,Vs,955.69,2018-10-06,iv,uWC,1,eX
2989,386,"v ",873.09,1910-08-18,fG,FFvewZJE,3,pZ
2990,577,SG,658.23,1964-05-30,hq,gMq,5,JT
2991,412,ee,836.68,1974-08-31,kK,mV,3,yB
2992,146,lS,656.33,1987-06-19,FL,eeogb,2,Jv
2993,412,LP,205.32,1915-07-02,UJ,uqsC,5,ac
2994,779,Ec,556.1,1995-08-04,Jd,KLbC,2,TD
2995,57,Pp,270.67,1952-10-01,Xc,HKgYt,3,uj
2996,407,MU,733.57,1969-05-13,bY,wzkrh,5,wY
2997,31,KS,838.75,1930-12-12,Dd,wzexyPEZq,3,lT
2998,993,kz,779.49,1901-05-28,Li,JOW,2,FM
2999,836,vj,614.73,2015-10-15,Er,Fxt,4,wk
3000,328,QP,450,1922-06-21,dH,VhXVg,3,DJ
3001,67,gZ,690.35,2012-04-29,WX,FJvWNH,5,zG
3002,810,ui,504.36,1982-10-15,Ra,lllcFvd,2,ZA
3003,801,Ib,162.9,1905-02-18,Km,UOwZ,4,VN
3004,123,Kt,851.55,1962-06-17,VL,fw,2,YT
3005,830,Sb,429.25,1962-09-21,af,DqY,2,Ny
3006,715,Ru,969.61,1968-10-29,"B ",cG,1,PK
3007,426,Jx,688.45,1972-01-29,qz,YrMv,3,mN
3008,784,xf,692.96,1994-02-23,rE,MLeC,4," Y"
3009,309,us,478.37,2010-04-18,RI,KDlQ,2,YZ
3010,918,UZ,925.32,1960-08-10,Uu,PkT,2,QU
3011,49,hV,637.56,1909-06-08,rb,zKakETw,5,Fi
3012,535,nB,742.36,2009-10-02,nM,GL,5,Gz
3013,353,Gg,174.94,1957-08-05,VS,SzKHR GbYf,2,sm
3014,342,Vj,63.75,1970-11-25,yk,Wq bhbQMdl,2,yK
3015,83,"Z ",489.32,1914-05-31,ml,FpF,1,sD
3016,213,Wx,437.77,1924-12-30,Px,mZd,1,cT
3017,657,OF,407.2,1955-09-13,JR,gX IXiFMo,1,rC
3018,755,"n ",318.27,1960-06-19,Nw,Hz DydixF,3,Ty
3019,388,qq,337.19,1911-01-26,Fk,im,3,sW
3020,549,rY,877.08,1984-07-31,jz,UyxdnG,1,hU
3021,225," Z",15.88,1959-09-08,bY,uHBaTXREOg,4,EB
3022,801,Kq,305.4,1996-12-05,Mo,AUpZ,4,ZG
3023,650,Tb,643.68,1910-07-25," O",VYGkaI,2,wU
3024,147,KP,384.61,1985-02-11,IU,MfzRiRpuuO,5,XK
3025,175,Nh,462.82,1943-01-03,bv,ULkJFZq,2,Jf
3026,602,Ou,167.25,1932-09-13,Ul,JeGmNm,2,sO
3027,414,ov,490.92,1977-06-05,lB,AOAdXn,5,LK
3028,196,cE,842.6,1947-05-30,"F ",B mrwGnUK,3,PT
3029,81,YQ,25.81,1921-01-20,zL,vVnRJc,4,xx
3030,703,Ax,47.97,2002-06-18,uT,yxLqqqCm,2,EX
3031,990,Pm,554.38,1922-11-11,tC,DRgbQbH,1,dB
3032,118,nx,449.76,2012-08-26,VF,ZsF,1,tM
3033,349,Nw,805.28,1909-03-05,op,xtiXwTvty,1,IO
3034,192,Jd,986.48,1981-12-20,yb,kGxfiiQu,2,ky
3035,500," u",228.92,1931-12-07,kH,VLjwjaE,2,fQ
3036,494,jX,81.11,1998-09-28,SQ,SLIe,5,zE
3037,282,Rc,854.02,1936-08-31,JF,WsxIrho,5,Dt
3038,651,HT,185.17,1967-04-17,rV,RtTRtUI,5,Cu
3039,204,zS,962.9,1944-04-14,ff,ZpZaNyDI,5,"V "
3040,844,QD,133.84,1974-03-04,oH,JEwiz,5,et
3041,976,fx,185.07,2007-09-03,Bd,cOikX,2,Ym
3042,910,eE,735.28,1996-12-23,yh,hZG,3,Er
3043,127,JR,202.11,1948-09-09,zI,tyPcg,1,OS
3044,564,hl,978.75,1999-12-28,Gc,Hkk,1,Iv
3045,17,rw,930.78,1938-10-28,nA,fV,5,Pc
3046,258,QY,461.86,1920-01-09,NA,tJGKzfs,3,iw
3047,243,ya,311.11,1946-03-23,gJ,CQrU,3,AG
3048,425,WB,160.36,1975-10-18,ZJ,gJOaFq,2,rU
3049,750,Mm,798.66,2008-08-03,pb,Uxa,1,jD
3050,998,lL,80.22,1992-12-25,uD,mhh,2,Vk
3051,273,cb,274.96,1985-11-11,zO,RwsGOeTb,2,Ze
3052,68,jB,3.44,1961-04-08,Kv,aurWLITH,1,VD
3053,605,wO,290.86,1907-03-25,mv,SzbREEvA,2,"R "
3054,31,SQ,701.31,1909-03-16,Du,OQB,3,pJ
3055,215,cV,446.34,2008-05-07,Cc,htcucnaiz,2,sC
3056,906,FU,172.07,2003-08-09,EL,tuU,4,jz
3057,362," s",226.62,1937-12-20,wc,TZPv,2,KZ
3058,811,LE,661.59,1917-07-28,Wi,wPlVhW,5," W"
3059,191,Hl,780.73,1970-03-18,yz,pS,4,kH
3060,876,TW,183.58,1959-09-22,Wv,gY,5,Qa
3061,742,vb,787.04,1971-03-07,Eq,gFtuGt,3,Gb
3062,571,xV,80.72,1955-03-17,eC,cbtEek,5,Jl
3063,357,of,974.41,1926-03-11,TS,HKEThOXujk,3,iB
3064,938,Vr,531.79,1948-01-30,YL,JF,2,fo
3065,497,DI,31.11,1969-01-21,mN,NEl WV,3,ns
3066,24,hQ,405.07,1997-03-28,iG,jPXbJ,1,CS
3067,332,tT,934.17,2019-06-29,aC,blaJ,3,OC
3068,904,lO,381.8,1995-03-11,uA,AvRKJI,4,gG
3069,424,Bo,97.3,1921-07-13,Ee,KBFmoG,1,tQ
3070,760,cU,991.65,1945-01-12,Zs,vE,5,FN
3071,128,Ni,391.91,1925-09-28,Nj,ndz,1,Fh
3072,221,Zv,145,1952-11-25,tb,EjKkczw,1,VY
3073,7,zq,361.33,2009-02-04,nR,PAOreIu,1,Wd
3074,451,GX,805.25,2017-07-30,Fj,XcfKa,1,"P "
3075,781,Jv,197.21,1982-12-13,MT,hFqBQWU,3,We
3076,962,Mv,675.18,1976-04-14," C",wi,5,dj
3077,926,Zx,132.4,1998-05-03,ow,bAJ,3,oH
3078,394,ZW,932.38,1917-09-15,LA,osLw,1,DX
3079,28,mU,239,2002-01-08,Rw,HDao,3,Ve
3080,790," R",13.75,1960-07-13,PA,VVzEqaHLzq,1,zn
3081,357,nt,791.33,1983-10-29,QB," zs lKLagu",1," n"
3082,961,Kq,16.68,1956-10-02,Ua,ntahoa,1,SL
3083,669,Sw,963.56,1986-10-08,Zg,TynpwEPZ,1,FY
3084,660,mx,468.83,1935-01-13,QI,IVH,2,JT
3085,550,my,441.96,2009-02-12,vb,ud,1,Pf
3086,442,zD,886.64,2018-08-10,"a ",IZkiWT,4,QZ
3087,983,FH,34.62,1988-10-31,lV,WYf,3,rK
3088,434,LJ,141.31,1902-06-23,Xj,NJHbN,5,qS
3089,694,rZ,833.82,1996-11-11,Sg,xAnixsdC,1,ce
3090,327,eE,446.46,2011-05-07,sV,KLXm,3,aK
3091,473,Xl,373.64,1900-02-27,YV,hakaVf,4,nT
3092,574,VD,875.87,1929-06-13,dC,yc,1,lG
3093,691,"x ",487.47,2017-06-29,qv,rfdHITYpTD,2,ki
3094,136,Zz,821.6,1921-03-08,Wv,TmPOF,4,Lg
3095,807,dZ,476.51,1985-08-28,XB,VXdY,5,ZF
3096,671,uR,193.26,1974-05-06,hW,DlFS,2,ra
3097,85,ii,508.21,1963-09-02,Ui,bQrvC,2,sG
3098,209,"H ",475.05,1958-08-01,Xy,VZRw gYAMG,2,rS
3099,205,iT,80.53,1996-09-18,JY,nAjIcaJQj,5,KI
3100,876,He,306.82,1914-04-22,SO,nZ,5," r"
3101,233,Vb,553.96,1925-06-22,xL,HGquG,3,jT
3102,338,Wp,933.01,1991-08-27,Wo,gjZ,1,vu
3103,107," x",398.41,1933-09-26," c",zdP lJoKz,2,SW
3104,923,hP,479.85,2017-12-08,RR,pxRoxibMad,4,JY
3105,594,PH,443.54,2002-05-14,fZ,FzOekgkZ,5," k"
3106,268,zo,746.02,2008-09-10,ag,itN,1," y"
3107,419,gB,892.62,1941-08-09,ch,qfNMqrT,5,XB
3108,436,Bp,436.33,1980-11-29,IR,ZdA,3,xf
3109,576,Ft,131.69,1957-03-03,QL,vTOUsp,1,VB
3110,880,bS,594.31,1908-05-28,jP,GqBgMX,3,bJ
3111,805,Ad,505.99,1950-07-19,Me,S i,1,oN
3112,422,RV,329.54,1967-02-02,SG,keVOOZKzY,4,zE
3113,389,GS,249.99,1950-10-20,af,BqaRBllTE,4,Mw
3114,901,Ki,963.25,1986-02-10,ap,mIwrs,2,Kx
3115,662,lw,758.32,1984-06-07,BF,bScw,4,mN
3116,546,zR,107.15,1983-12-30,IQ,UEgC kHy,3," c"
3117,340,JD,969.59,1952-11-03,ty,o O,5,"c "
3118,370,ks,988.94,1935-07-19,nV,khjw,4,kc
3119,967,Dm,119.42,1979-03-27,Tz,bTxyPN,1,Lh
3120,656,GQ,312.96,1947-03-21,lN,Pq,3,Ep
3121,358,RU,890.01,2005-04-19,EX,nZXH,2,hw
3122,354,Jz,278.31,2004-09-20,zC,iHSr,4,RN
3123,220,Ql,805.24,1984-11-27,kP,ajTFJneDS,3,ws
3124,184,aO,367.53,2007-08-22,VD,hjCGtv,1,DW
3125,565,zg,326.1,1970-09-13,aR,OdQc,1,GZ
3126,812,ZT,306.4,1982-03-22,yp,aYeZBRKiZS,4,EN
3127,714,xE,502.56,2012-02-22,VT,lfVdCv,5,DQ
3128,74,bA,495.94,2016-02-04,QV,"RKqxhLMug ",5,Ea
3129,634,Io,11.65,2019-11-08,Zr,lBaWoKBx,2,hL
3130,259,cq,662.22,1964-07-04,Ic,DR,5,Us
3131,362,"x ",841.05,1996-08-30,An,rRRit,4,TU
3132,785,xl,599.19,1905-06-29,uY,nglW,4,AU
3133,709,dY,752.54,1933-01-15,FN,nflERnpQ,2,ZH
3134,982,kQ,5.18,1914-01-26,tC,kEclHvhFt,5,Jh
3135,304,io,350.82,1959-11-09,wN,jnb,3,iw
3136,847,OT,732.26,2015-05-19,VW,ReCnIFO,5,nI
3137,945,aL,452.82,1931-08-03,Zy,GRAmXkHG,3,nO
3138,205,nW,700.42,1913-09-15,BE,MYAUMoRVzW,4,yc
3139,892,MZ,973.06,2015-10-06,bJ,phNZJo,5,fY
3140,505,mf,876.06,1999-02-08,nb,gV M,2,Oa
3141,83,Ef,297.46,1956-02-10,Fh,hTv,1,lI
3142,84,sc,616.67,2006-02-08,Nn,FwALT,4,Al
3143,364,fM,502.88,1940-11-17,OL,BbJ,5,mX
3144,175,tK,831.82,1908-08-03,MW,yCPbZOY,5,il
3145,81,hM,45.3,1986-01-10,ZF,jhSdDsZ,5,qo
3146,120,NS,573.34,1955-06-21,VD,zIm,2,Qi
3147,404,ga,562.34,2012-01-18,cF,PZS,3,YS
3148,836,iU,848.72,1924-06-17,bp,cumx,2,Bi
3149,886," s",508.65,1953-06-14,LX,FRPSTNSNfk,5,"K "
3150,366,uU,317.47,1917-05-20," h",NCK,4,XK
3151,939,LP,579.2,1915-05-27," X",PO,4,qh
3152,384,If,736.52,1978-02-23,hB,XMF,1,jV
3153,126,JA,387.86,2006-06-13,zM,CLuRc,5,BA
3154,596,Um,146.9,1909-09-23,rb,gmxlB,1,Mn
3155,368,tf,835,2016-04-13,hz,IZILMIgRRW,5,oU
3156,87,KW,396.59,2012-02-10,tO,pEWPOIoeN,3,xe
3157,845," n",47.36,1997-07-05,Cj,QqljoeDyb,1,yg
3158,651,lF,906.23,1908-05-12,Dg,EKchS,2,bK
3159,859,Oo,507.77,1910-01-06,En,vHQe,3,Er
3160,50,Ph,766.22,1995-07-26,EC,jl,2,Cv
3161,577,HJ,547.04,1933-11-18,TI,PBy,2,QS
3162,802," n",344.36,1990-01-03,CE,SXjUL,1,Wz
3163,392," f",721.5,1985-08-06,Du,ij,5,sk
3164,377,jn,929.03,1917-07-26,hg,t fI,2,dJ
3165,94,eJ,806.3,1937-10-29,Zn,FaqAi lHjI,3,Mk
3166,435,yi,597.45,2018-04-28,Ti,ZRxYH,3," i"
3167,909,iQ,431,1935-12-16,uO,GpXE,4,ta
3168,740,os,871.46,1901-05-08,Eo,qaG,5,tQ
3169,524,Oy,218.45,1953-06-06,RV,rbieqlTpx,4,qy
3170,309,oY,749.46,1903-09-06,CN,ulSJQoVkAV,5,xs
3171,787,us,724.73,1971-03-06,DN,XWe,2,ZZ
3172,941,ps,909.38,1995-07-22,je,wfGn,2,tM
3173,423,Sv,281.82,1918-06-10,sK,jU lyuuD,2,Wr
3174,463,Nq,135.35,1954-07-29,SD,UpvOec,2,Et
3175,35,tg,166.58,1911-01-25,Pr,MYWqIepWX,1,Ff
3176,306,Lp,754.63,1933-05-11,OJ,sjSgSNHmd,3,bT
3177,323,Os,316.82,1906-08-07,Lj,uo,5,UH
3178,681,sw,896.94,1991-01-10,bc,YDRsk,1,qn
3179,111,Gl,376.5,1913-01-11,pd,HAaLDUIC,4,QU
3180,413,dF,817.98,1982-12-06,Qc,CDVPmGrX,1,eV
3181,499,zo,418.61,1955-12-13,HS,MP,1,fb
3182,402,zH,687.21,1901-05-30,Uo,ZEUQltR,3,SP
3183,84,kn,76.39,1978-12-23,ko,YkxWu,2,sK
3184,246,aS,175.53,1969-06-22,pf,hZ,4,wq
3185,478,aa,626.18,1929-10-07,PF,DLA,3,eE
3186,597,Ew,33.83,1920-01-03,lw,UzvNY,2,JS
3187,392,vL,323.59,2004-06-04,df,tYhglgEd,3,Qm
3188,928,fZ,133.41,1907-04-01,fK,CnQt,5,QC
3189,785,li,452.34,1961-04-23,XK,IZKTHt,5,La
3190,155,Rx,588.94,1930-05-22,kh,GN,5,GF
3191,303,tq,95.75,1965-06-03,lQ,YDxdNRC,2,AX
3192,935,IY,869.83,2006-05-11,nH,BhYleO,5,BK
3193,223,Vt,384.36,1966-07-16,pV,AMk,3,oZ
3194,150,Xw,628,1938-05-22,PK,JNYEhSmW,4,an
3195,299,Yy,952.67,1991-06-28,RC,MTTBtfikZ,1,YG
3196,600,BX,354.96,1955-11-05,si,"GwgYxJEyL ",4,xT
3197,195,vz,172.38,1912-05-07,CE,fFBJWPms,4,qG
3198,415,Wv,136.19,2014-09-21,vq,yd,1,gY
3199,1000,XQ,176.5,1901-03-10,lz,HXAr UoulJ,1,eq
3200,89,yj,393.57,2014-01-29,Sn,QtLmzbGSR,3,Yt
3201,644,BB,970.73,1976-03-05,Bu,tnf,4,xz
3202,991,Wr,679.74,1958-06-21,be,Ykup,1,yZ
3203,446,hn,95.84,1961-07-30,NO,ncpwIDdEIa,1,GL
3204,266,Qt,744.07,1984-09-04,OO,pRhHr,5,sg
3205,942,oB,763.55,1985-11-12,sg,RPOWBPjG,2,zE
3206,123," F",593.45,1900-06-09,JA,jNEdSUM,5,uK
3207,706,ZE,78.33,2003-10-23,Do,PsJI,3,gn
3208,793,Dj,908.53,1943-06-12,yX,pdhqp,5,pw
3209,298,Ef,406.96,1963-10-26,yH,QvLkq,3,GE
3210,131,DA,623.96,1911-10-17,hL,LM,3,OL
3211,760,CG,597.11,1976-09-29,FW,fjGiFpY,2,SY
3212,440,gJ,62.02,1969-02-27,wH,NoXPhN,2,SI
3213,914,Wr,722.37,1906-08-16,Zg,iReod,4,sA
3214,570,el,623.3,1915-02-13,pv,Hgr,2,FG
3215,81,ma,164.36,1904-09-06,OW,vTMhR,5,Jl
3216,392,HC,461.41,2004-10-25,sm,LZRdG,4,aP
3217,225,HP,476.71,2014-02-12,Zl,bs,2,oB
3218,230,uu,94.03,1959-08-25,ml,YHiCECse,5,LG
3219,502,Xf,15.31,1995-09-29,Ao,RalQVel,2,Wd
3220,453,lA,427.85,1953-08-25,Rl,Oes,4,vg
3221,329,kq,792.6,1928-10-12,KN,rlh BxGC,2,Ek
3222,515,Js,45.96,1945-10-03," V",OOWkNras,3,Gx
3223,34,Qs,840.78,2007-07-31,sK,nhDPWIyUY,5,Bm
3224,504,NC,885.2,1902-10-31,HR,yAtALrkjs,3,kV
3225,642,IV,136.77,1968-11-19,IZ,CyhzC,5,Mc
3226,501,KW,576.79,1965-07-17,ur,VVjw,4,gV
3227,669,CT,928.91,1956-09-02,"X ",tK,5,aw
3228,608,PG,710.58,2010-10-05,Na,"chOYfS ",2,tw
